"Vase.Number";"Technique";"DAT_min";"DAT_max"
"96726";9017599;"BLACK-FIGURE";-550;-500
"34700";201814;"RED-FIGURE";-525;-475
"7514";8192;"RED-FIGURE";-475;-425
"27459";31758;"BLACK-FIGURE";-525;-475
"33056";200118;"RED-FIGURE";-550;-500
"64777";351444;"BLACK-FIGURE";-525;-475
"3721";4092;"BLACK-FIGURE";-550;-500
"24524";28697;"BLACK-FIGURE";-575;-525
"29179";42004;"BLACK-FIGURE";-525;-475
"33106";200168;"RED-FIGURE";-525;-475
"17289";19043;"RED-FIGURE";-450;-400
"35936";203072;"RED-FIGURE";-500;-450
"32169";46369;"BLACK-FIGURE";-550;-500
"44824";212701;"RED-FIGURE";-475;-425
"87767";9008456;"RED-FIGURE";-425;-375
"78373";1012139;"RED-FIGURE";-425;-375
"52911";275079;"RED-FIGURE";-525;-475
"35478";202610;"RED-FIGURE";-500;-450
"66385";361481;"BLACK-FIGURE";-525;-475
"16852";18603;"BLACK-FIGURE";-525;-475
"64606";351265;"BLACK-FIGURE";-525;-475
"9049";9839;"RED-FIGURE";-400;-300
"51298";230257;"RED-FIGURE";-400;-300
"26425";30672;"RED-FIGURE";-450;-400
"40653";207829;"RED-FIGURE";-475;-425
"95284";9016138;"BLACK-FIGURE";-575;-525
"53869";276044;"RED-FIGURE";-475;-425
"64260";350905;"BLACK-FIGURE";-550;-500
"26861";31125;"BLACK-FIGURE";-625;-575
"34744";201858;"RED-FIGURE";-525;-475
"33143";200205;"RED-FIGURE";-525;-475
"10520";11390;"RED-FIGURE";-450;-400
"17077";18831;"RED-FIGURE";-400;-300
"59816";310207;"BLACK-FIGURE";-575;-525
"16350";18086;"BLACK-FIGURE";-525;-475
"39263";206429;"RED-FIGURE";-500;-450
"35835";202971;"RED-FIGURE";-500;-450
"36680";203822;"RED-FIGURE";-500;-450
"7098";7759;"RED-FIGURE";-525;-475
"58189";305582;"BLACK-FIGURE";-525;-475
"23919";28066;"RED-FIGURE";-500;-450
"31653";45373;"BLACK-FIGURE";-475;-425
"46936";214819;"RED-FIGURE";-475;-425
"94792";9015643;"RED-FIGURE";-500;-450
"15937";17666;"BLACK-FIGURE";-525;-475
"53759";275933;"RED-FIGURE";-500;-450
"67460";900005;"BLACK-FIGURE";-550;-500
"35958";203095;"RED-FIGURE";-500;-450
"23925";28072;"RED-FIGURE";-475;-425
"705";754;"BLACK-FIGURE";-550;-500
"55718";301767;"BLACK-FIGURE";-550;-500
"53591";275765;"RED-FIGURE";-500;-450
"29763";43408;"BLACK-FIGURE";-550;-500
"16244";17979;"BLACK-FIGURE";-525;-475
"29785";43431;"RED-FIGURE";-400;-300
"54378";300399;"BLACK-FIGURE";-575;-525
"43177";211051;"RED-FIGURE";-475;-425
"31271";44977;"RED-FIGURE";-450;-400
"12887";13989;"RED-FIGURE";-475;-425
"44116";211991;"RED-FIGURE";-475;-425
"14228";15398;"BLACK-FIGURE";-550;-500
"56017";302066;"BLACK-FIGURE";-550;-500
"13728";14870;"BLACK-FIGURE";-525;-475
"27860";32171;"BLACK-FIGURE";-550;-500
"29871";43517;"BLACK-FIGURE";-525;-475
"8303";9036;"RED-FIGURE";-500;-450
"54846";300869;"BLACK-FIGURE";-575;-525
"28341";41146;"RED-FIGURE";-500;-450
"98486";9019412;"RED-FIGURE";-475;-425
"31601";45318;"BLACK-FIGURE";-525;-475
"19718";21987;"RED-FIGURE";-500;-450
"58581";305976;"BLACK-FIGURE";-525;-475
"16769";18520;"BLACK-FIGURE";-525;-475
"60835";330174;"BLACK-FIGURE";-550;-500
"262";274;"RED-FIGURE";-400;-300
"41464";208646;"RED-FIGURE";-475;-425
"25507";29709;"BLACK-FIGURE";-525;-475
"30472";44145;"RED-FIGURE";-450;-400
"8886";9669;"RED-FIGURE";-500;-450
"62626";331988;"BLACK-FIGURE";-550;-500
"23404";25781;"RED-FIGURE";-475;-425
"46933";214816;"RED-FIGURE";-475;-425
"59011";306411;"BLACK-FIGURE";-525;-475
"42789";209977;"RED-FIGURE";-475;-425
"12097";13151;"RED-FIGURE";-500;-450
"26090";30311;"BLACK-FIGURE";-550;-500
"11700";12736;"BLACK-FIGURE";-500;-450
"12691";13785;"RED-FIGURE";-450;-400
"37610";204759;"RED-FIGURE";-500;-450
"25269";29467;"RED-FIGURE";-450;-400
"42241";209426;"RED-FIGURE";-500;-450
"3378";3695;"BLACK-FIGURE";-400;-300
"27506";31806;"RED-FIGURE";-450;-400
"40410";207586;"RED-FIGURE";-475;-425
"62474";331836;"BLACK-FIGURE";-550;-500
"28680";41492;"BLACK-FIGURE";-550;-500
"57566";303629;"BLACK-FIGURE";-550;-500
"57040";303099;"BLACK-FIGURE";-500;-450
"44940";212817;"RED-FIGURE";-475;-425
"12997";14101;"BLACK-FIGURE";-500;-450
"61472";330821;"BLACK-FIGURE";-525;-475
"15824";17549;"BLACK-FIGURE";-575;-525
"45126";213003;"RED-FIGURE";-475;-425
"40414";207590;"RED-FIGURE";-475;-425
"21749";24063;"BLACK-FIGURE";-550;-500
"9868";10702;"BLACK-FIGURE";-550;-500
"29844";43490;"BLACK-FIGURE";-525;-475
"36019";203156;"RED-FIGURE";-500;-450
"52410";242922;"RED-FIGURE";-400;-300
"29236";42063;"RED-FIGURE";-400;-300
"64362";351012;"BLACK-FIGURE";-550;-500
"7527";8205;"BLACK-FIGURE";-575;-525
"96006";9016866;"RED-FIGURE";-525;-475
"57283";303344;"BLACK-FIGURE";-550;-500
"32090";46289;"RED-FIGURE";-400;-300
"51847";230806;"RED-FIGURE";-400;-300
"16946";18698;"BLACK-FIGURE";-525;-475
"57406";303468;"BLACK-FIGURE";-550;-500
"38222";205385;"RED-FIGURE";-500;-450
"52021";230981;"RED-FIGURE";-400;-300
"42971";210164;"RED-FIGURE";-475;-425
"59441";306850;"BLACK-FIGURE";-525;-475
"31257";44963;"BLACK-FIGURE";-525;-475
"33649";200719;"RED-FIGURE";-525;-475
"23373";25749;"BLACK-FIGURE";-550;-500
"24928";29120;"RED-FIGURE";-500;-450
"30757";44452;"RED-FIGURE";-450;-400
"49608";217499;"RED-FIGURE";-425;-375
"8704";9466;"BLACK-FIGURE";-525;-475
"59408";306817;"BLACK-FIGURE";-525;-475
"18443";20240;"BLACK-FIGURE";-525;-475
"98976";9019906;"RED-FIGURE";-450;-400
"61732";331086;"BLACK-FIGURE";-550;-500
"28877";41694;"RED-FIGURE";-500;-450
"52294";240028;"RED-FIGURE";-425;-375
"45306";213184;"RED-FIGURE";-475;-425
"23536";25914;"BLACK-FIGURE";-525;-475
"46094";213975;"RED-FIGURE";-475;-425
"31486";45202;"BLACK-FIGURE";-550;-500
"44966";212843;"RED-FIGURE";-475;-425
"12285";13348;"BLACK-FIGURE";-525;-475
"19868";22138;"RED-FIGURE";-500;-450
"3277";3580;"BLACK-FIGURE";-525;-475
"43180";211054;"RED-FIGURE";-475;-425
"44782";212659;"RED-FIGURE";-475;-425
"26825";31089;"BLACK-FIGURE";-525;-475
"57405";303467;"BLACK-FIGURE";-550;-500
"9462";10274;"BLACK-FIGURE";-575;-525
"23501";25878;"BLACK-FIGURE";-550;-500
"36699";203841;"RED-FIGURE";-500;-450
"42728";209915;"RED-FIGURE";-475;-425
"91483";9012206;"RED-FIGURE";-475;-425
"52703";260096;"RED-FIGURE";-400;-300
"33181";200244;"RED-FIGURE";-525;-475
"56867";302920;"BLACK-FIGURE";-550;-500
"84813";9005460;"RED-FIGURE";-450;-400
"12196";13252;"BLACK-FIGURE";-550;-500
"65501";352236;"BLACK-FIGURE";-525;-475
"25058";29250;"BLACK-FIGURE";-550;-500
"44048";211923;"RED-FIGURE";-475;-425
"12749";13846;"BLACK-FIGURE";-525;-475
"30265";43925;"RED-FIGURE";-475;-425
"5461";6001;"BLACK-FIGURE";-550;-500
"8405";9153;"BLACK-FIGURE";-525;-475
"56088";302137;"BLACK-FIGURE";-550;-500
"59901";310292;"BLACK-FIGURE";-575;-525
"36055";203192;"RED-FIGURE";-500;-450
"5374";5912;"BLACK-FIGURE";-525;-475
"46002";213883;"RED-FIGURE";-475;-425
"55695";301744;"BLACK-FIGURE";-550;-500
"12268";13329;"BLACK-FIGURE";-550;-500
"4694";5171;"BLACK-FIGURE";-600;-550
"20898";23202;"BLACK-FIGURE";-525;-475
"41366";208548;"RED-FIGURE";-475;-425
"63345";340569;"BLACK-FIGURE";-550;-500
"32153";46353;"BLACK-FIGURE";-525;-475
"26815";31079;"BLACK-FIGURE";-400;-300
"49358";217249;"RED-FIGURE";-450;-400
"48319";216204;"RED-FIGURE";-450;-400
"32730";46938;"BLACK-FIGURE";-550;-500
"31804";46000;"BLACK-FIGURE";-575;-525
"40147";207322;"RED-FIGURE";-475;-425
"62349";331710;"BLACK-FIGURE";-525;-475
"51166";230125;"RED-FIGURE";-425;-375
"56640";302690;"BLACK-FIGURE";-575;-525
"18826";21043;"BLACK-FIGURE";-550;-500
"91294";9012017;"RED-FIGURE";-500;-450
"55423";301468;"BLACK-FIGURE";-550;-500
"32210";46411;"RED-FIGURE";-425;-375
"49790";217681;"RED-FIGURE";-450;-400
"20982";23286;"BLACK-FIGURE";-550;-500
"98858";9019787;"RED-FIGURE";-500;-450
"44651";212528;"RED-FIGURE";-475;-425
"66822";390391;"BLACK-FIGURE";-525;-475
"2400";2599;"RED-FIGURE";-475;-425
"56896";302949;"BLACK-FIGURE";-550;-500
"12403";13477;"BLACK-FIGURE";-575;-525
"60579";320391;"BLACK-FIGURE";-550;-500
"54126";300142;"BLACK-FIGURE";-600;-550
"59275";306681;"BLACK-FIGURE";-550;-500
"35866";203002;"RED-FIGURE";-500;-450
"24691";28873;"BLACK-FIGURE";-550;-500
"19132";21360;"BLACK-FIGURE";-550;-500
"66347";361442;"BLACK-FIGURE";-525;-475
"37966";205126;"RED-FIGURE";-500;-450
"12419";13495;"BLACK-FIGURE";-525;-475
"12175";13230;"RED-FIGURE";-450;-400
"66372";361467;"BLACK-FIGURE";-525;-475
"48255";216140;"RED-FIGURE";-475;-425
"26693";30954;"BLACK-FIGURE";-575;-525
"33789";200861;"RED-FIGURE";-525;-475
"55573";301619;"BLACK-FIGURE";-550;-500
"65789";360873;"BLACK-FIGURE";-525;-475
"83712";9004347;"BLACK-FIGURE";-550;-500
"46298";214181;"RED-FIGURE";-475;-425
"9354";10163;"BLACK-FIGURE";-575;-525
"64316";350961;"BLACK-FIGURE";-550;-500
"37319";204466;"RED-FIGURE";-500;-450
"34654";201739;"RED-FIGURE";-525;-475
"31735";45456;"RED-FIGURE";-475;-425
"15913";17641;"BLACK-FIGURE";-550;-500
"49958";217849;"RED-FIGURE";-450;-400
"3604";3956;"BLACK-FIGURE";-575;-525
"24929";29121;"RED-FIGURE";-525;-475
"45108";212985;"RED-FIGURE";-475;-425
"58911";306308;"BLACK-FIGURE";-525;-475
"54169";300186;"BLACK-FIGURE";-600;-550
"55891";301940;"BLACK-FIGURE";-550;-500
"46776";214659;"RED-FIGURE";-475;-425
"54677";300700;"BLACK-FIGURE";-575;-525
"46147";214028;"RED-FIGURE";-475;-425
"21276";23584;"BLACK-FIGURE";-525;-475
"10892";11875;"BLACK-FIGURE";-600;-550
"37830";204987;"RED-FIGURE";-500;-450
"4203";4626;"RED-FIGURE";-400;-300
"36190";203327;"RED-FIGURE";-500;-450
"17912";19693;"RED-FIGURE";-525;-475
"61084";330425;"BLACK-FIGURE";-550;-500
"24211";28372;"BLACK-FIGURE";-550;-500
"58167";305560;"BLACK-FIGURE";-525;-475
"16575";18312;"BLACK-FIGURE";-525;-475
"24874";29065;"RED-FIGURE";-525;-475
"51253";230212;"RED-FIGURE";-400;-300
"59374";306780;"BLACK-FIGURE";-525;-475
"24754";28940;"BLACK-FIGURE";-525;-475
"35333";202465;"RED-FIGURE";-500;-450
"10791";11771;"RED-FIGURE";-450;-400
"56981";303040;"BLACK-FIGURE";-550;-500
"20552";22846;"RED-FIGURE";-425;-375
"19647";21915;"RED-FIGURE";-500;-450
"27388";31687;"RED-FIGURE";-475;-425
"79608";1013466;"BLACK-FIGURE";-550;-500
"48159";216044;"RED-FIGURE";-475;-425
"28316";41119;"RED-FIGURE";-500;-450
"52846";275012;"RED-FIGURE";-525;-475
"29171";41996;"RED-FIGURE";-400;-300
"59410";306819;"BLACK-FIGURE";-525;-475
"35564";202698;"RED-FIGURE";-500;-450
"17739";19506;"RED-FIGURE";-500;-450
"47359";215242;"RED-FIGURE";-450;-400
"57902";305292;"BLACK-FIGURE";-525;-475
"58407";305801;"BLACK-FIGURE";-525;-475
"1581";1711;"BLACK-FIGURE";-525;-475
"63260";340480;"BLACK-FIGURE";-550;-500
"13295";14412;"BLACK-FIGURE";-550;-500
"95094";9015947;"BLACK-FIGURE";-550;-500
"26258";30497;"BLACK-FIGURE";-550;-500
"9733";10560;"RED-FIGURE";-400;-300
"52053";231014;"RED-FIGURE";-400;-300
"2666";2908;"RED-FIGURE";-525;-475
"30477";44150;"BLACK-FIGURE";-550;-500
"10383";11249;"BLACK-FIGURE";-525;-475
"51894";230853;"RED-FIGURE";-400;-300
"44187";212063;"RED-FIGURE";-475;-425
"33474";200541;"RED-FIGURE";-525;-475
"65230";351925;"BLACK-FIGURE";-525;-475
"64191";350832;"BLACK-FIGURE";-550;-500
"57000";303059;"BLACK-FIGURE";-500;-450
"54043";300058;"BLACK-FIGURE";-600;-550
"31842";46040;"RED-FIGURE";-475;-425
"41887";209071;"RED-FIGURE";-475;-425
"29351";42187;"RED-FIGURE";-475;-425
"20915";23219;"BLACK-FIGURE";-525;-475
"18957";21180;"BLACK-FIGURE";-550;-500
"64110";350751;"BLACK-FIGURE";-550;-500
"51589";230548;"RED-FIGURE";-400;-300
"34932";202058;"RED-FIGURE";-525;-475
"12539";13623;"BLACK-FIGURE";-550;-500
"5427";5966;"RED-FIGURE";-475;-425
"56891";302944;"BLACK-FIGURE";-550;-500
"22433";24763;"BLACK-FIGURE";-550;-500
"57845";305235;"BLACK-FIGURE";-600;-550
"53409";275582;"RED-FIGURE";-400;-300
"54102";300118;"BLACK-FIGURE";-600;-550
"58245";305638;"BLACK-FIGURE";-525;-475
"22075";24398;"BLACK-FIGURE";-525;-475
"34864";201987;"RED-FIGURE";-525;-475
"34224";201301;"RED-FIGURE";-525;-475
"99508";9020439;"RED-FIGURE";-400;-300
"59180";306581;"BLACK-FIGURE";-550;-500
"11307";12323;"BLACK-FIGURE";-525;-475
"32787";46999;"RED-FIGURE";-425;-375
"29556";43192;"BLACK-FIGURE";-500;-450
"56638";302688;"BLACK-FIGURE";-575;-525
"7565";8245;"BLACK-FIGURE";-550;-500
"20325";22614;"RED-FIGURE";-450;-400
"39347";206514;"RED-FIGURE";-500;-450
"61088";330429;"BLACK-FIGURE";-550;-500
"45040";212917;"RED-FIGURE";-475;-425
"95520";9016376;"BLACK-FIGURE";-550;-500
"41062";208243;"RED-FIGURE";-475;-425
"49864";217755;"RED-FIGURE";-450;-400
"7460";8135;"BLACK-FIGURE";-525;-475
"10683";11658;"RED-FIGURE";-500;-450
"61527";330880;"BLACK-FIGURE";-525;-475
"48428";216314;"RED-FIGURE";-450;-400
"53674";275848;"RED-FIGURE";-500;-450
"19496";21760;"RED-FIGURE";-425;-375
"35362";202494;"RED-FIGURE";-500;-450
"30933";44634;"BLACK-FIGURE";-525;-475
"62056";331414;"BLACK-FIGURE";-525;-475
"65561";352302;"BLACK-FIGURE";-525;-475
"58638";306033;"BLACK-FIGURE";-525;-475
"48415";216300;"RED-FIGURE";-450;-400
"58926";306323;"BLACK-FIGURE";-525;-475
"96796";9017671;"RED-FIGURE";-500;-450
"21431";23740;"RED-FIGURE";-400;-300
"46658";214541;"RED-FIGURE";-475;-425
"61028";330369;"BLACK-FIGURE";-550;-500
"54545";300567;"BLACK-FIGURE";-575;-525
"25500";29702;"RED-FIGURE";-400;-300
"24702";28886;"RED-FIGURE";-525;-475
"9341";10149;"BLACK-FIGURE";-575;-525
"99201";9020132;"RED-FIGURE";-450;-400
"53783";275957;"RED-FIGURE";-500;-450
"12483";13562;"BLACK-FIGURE";-575;-525
"8723";9487;"BLACK-FIGURE";-525;-475
"42989";210182;"RED-FIGURE";-475;-425
"52946";275114;"RED-FIGURE";-525;-475
"21203";23511;"BLACK-FIGURE";-550;-500
"21414";23723;"RED-FIGURE";-475;-425
"54499";300520;"BLACK-FIGURE";-575;-525
"42534";209720;"RED-FIGURE";-475;-425
"27686";31990;"BLACK-FIGURE";-575;-525
"27636";31939;"BLACK-FIGURE";-575;-525
"52337";240071;"RED-FIGURE";-425;-375
"46709";214592;"RED-FIGURE";-475;-425
"49756";217647;"RED-FIGURE";-450;-400
"25887";30095;"BLACK-FIGURE";-550;-500
"15164";16452;"RED-FIGURE";-425;-375
"25063";29255;"BLACK-FIGURE";-550;-500
"20980";23284;"BLACK-FIGURE";-500;-450
"41629";208811;"RED-FIGURE";-475;-425
"42620";209806;"RED-FIGURE";-475;-425
"39162";206328;"RED-FIGURE";-500;-450
"59654";310045;"BLACK-FIGURE";-575;-525
"23144";25482;"BLACK-FIGURE";-600;-550
"53329";275501;"RED-FIGURE";-450;-400
"34966";202092;"RED-FIGURE";-525;-475
"12104";13158;"RED-FIGURE";-500;-450
"50255";218147;"RED-FIGURE";-400;-300
"54207";300226;"BLACK-FIGURE";-600;-550
"46770";214653;"RED-FIGURE";-475;-425
"98977";9019907;"RED-FIGURE";-500;-450
"60909";330248;"BLACK-FIGURE";-550;-500
"78354";1012120;"RED-FIGURE";-450;-400
"9643";10463;"BLACK-FIGURE";-550;-500
"24600";28775;"RED-FIGURE";-525;-475
"57895";305285;"BLACK-FIGURE";-525;-475
"13487";14606;"BLACK-FIGURE";-525;-475
"91555";9012280;"RED-FIGURE";-450;-400
"3694";4064;"BLACK-FIGURE";-525;-475
"7756";8442;"BLACK-FIGURE";-525;-475
"21138";23446;"BLACK-FIGURE";-550;-500
"102242";9023194;"RED-FIGURE";-475;-425
"63011";340121;"RED-FIGURE";-400;-300
"24846";29036;"RED-FIGURE";-475;-425
"61670";331023;"BLACK-FIGURE";-550;-500
"51703";230662;"RED-FIGURE";-400;-300
"6906";7558;"RED-FIGURE";-500;-450
"59759";310150;"BLACK-FIGURE";-575;-525
"45239";213116;"RED-FIGURE";-475;-425
"62815";332182;"BLACK-FIGURE";-550;-500
"23459";25836;"BLACK-FIGURE";-575;-525
"45366";213244;"RED-FIGURE";-475;-425
"8415";9164;"RED-FIGURE";-425;-375
"39651";206823;"RED-FIGURE";-475;-425
"24888";29079;"RED-FIGURE";-425;-375
"38239";205402;"RED-FIGURE";-500;-450
"82487";9003087;"BLACK-FIGURE";-525;-475
"20774";23077;"BLACK-FIGURE";-525;-475
"22819";25152;"BLACK-FIGURE";-550;-500
"34762";201876;"RED-FIGURE";-525;-475
"25499";29701;"RED-FIGURE";-425;-375
"44587";212464;"RED-FIGURE";-475;-425
"25410";29612;"RED-FIGURE";-425;-375
"61000";330340;"BLACK-FIGURE";-550;-500
"44209";212085;"RED-FIGURE";-475;-425
"8585";9341;"RED-FIGURE";-450;-400
"13972";15130;"RED-FIGURE";-400;-300
"46203";214085;"RED-FIGURE";-475;-425
"37601";204750;"RED-FIGURE";-500;-450
"16853";18604;"BLACK-FIGURE";-525;-475
"33039";200102;"RED-FIGURE";-550;-500
"66775";390344;"BLACK-FIGURE";-525;-475
"66127";361215;"BLACK-FIGURE";-525;-475
"13585";14721;"BLACK-FIGURE";-525;-475
"63906";350343;"BLACK-FIGURE";-600;-550
"64203";350846;"BLACK-FIGURE";-550;-500
"46313";214196;"RED-FIGURE";-475;-425
"39401";206570;"RED-FIGURE";-500;-450
"33262";200325;"RED-FIGURE";-525;-475
"27611";31914;"BLACK-FIGURE";-575;-525
"6754";7398;"BLACK-FIGURE";-600;-550
"15299";16609;"BLACK-FIGURE";-600;-550
"51919";230878;"RED-FIGURE";-400;-300
"89631";9010336;"RED-FIGURE";-500;-450
"87082";9007768;"BLACK-FIGURE";-525;-475
"7891";8595;"RED-FIGURE";-475;-425
